order_details_id,order_id,product_id,quantity
1,1,1,2
2,2,2,1
3,3,3,1
4,4,4,3
5,5,5,2
6,6,6,1
7,7,7,2
8,8,8,1
9,9,9,1
10,10,10,2
11,11,11,1
12,12,12,1
13,13,13,2
14,14,14,1
15,15,15,1
16,16,16,2
17,17,17,1
18,18,18,1
19,19,19,2
20,20,20,1
21,21,21,1
22,22,22,2
23,23,23,1
24,24,24,1
25,25,25,2
26,26,26,1
27,27,27,1
28,28,28,2
29,29,29,1
30,30,30,1
31,31,31,2
32,32,32,1
33,33,33,1
34,34,34,2
35,35,35,1
36,36,36,1
37,37,37,2
38,38,38,1
39,39,39,1
40,40,40,2
41,41,41,1
42,42,42,1
43,43,43,2
44,44,44,1
45,45,45,1
46,46,46,2
47,47,47,1
48,48,48,1
49,49,49,2
50,50,50,1
51,51,51,1
52,52,52,2
53,53,53,1
54,54,54,1
55,55,55,2
56,56,56,1
57,57,57,1
58,58,58,2
59,59,59,1
60,60,60,1
61,61,61,2
62,62,62,1
63,63,63,1
64,64,64,2
65,65,65,1
66,66,66,1
67,67,67,2
68,68,68,1
69,69,69,1
70,70,70,2
