order_id,customer_id,order_date,amount
1,1,2023-01-15,150.75
2,2,2023-02-20,245.50
3,3,NULL,300.00
4,4,2023-04-25,NULL
5,5,2023-05-30,120.25
6,6,2023-06-15,NULL
7,7,2023-07-20,500.00
8,8,NULL,245.50
9,9,2023-09-30,150.75
10,10,2023-10-15,NULL
11,11,2023-11-20,300.00
12,12,NULL,120.25
13,13,2023-01-30,150.75
14,14,2023-02-15,245.50
15,15,NULL,300.00
16,16,2023-04-25,NULL
17,17,2023-05-30,120.25
18,18,2023-06-15,NULL
19,19,2023-07-20,500.00
20,20,NULL,245.50
21,21,2023-09-30,150.75
22,22,2023-10-15,NULL
23,23,2023-11-20,300.00
24,24,NULL,120.25
25,25,2023-01-30,150.75
26,26,2023-02-15,245.50
27,27,NULL,300.00
28,28,2023-04-25,NULL
29,29,2023-05-30,120.25
30,30,2023-06-15,NULL
31,31,2023-07-20,500.00
32,32,NULL,245.50
33,33,2023-09-30,150.75
34,34,2023-10-15,NULL
35,35,2023-11-20,300.00
36,36,NULL,120.25
37,37,2023-01-30,150.75
38,38,2023-02-15,245.50
39,39,NULL,300.00
40,40,2023-04-25,NULL
41,41,2023-05-30,120.25
42,42,2023-06-15,NULL
43,43,2023-07-20,500.00
44,44,NULL,245.50
45,45,2023-09-30,150.75
46,46,2023-10-15,NULL
47,47,2023-11-20,300.00
48,48,NULL,120.25
49,49,2023-01-30,150.75
50,50,2023-02-15,245.50
51,51,NULL,300.00
52,52,2023-04-25,NULL
53,53,2023-05-30,120.25
54,54,2023-06-15,NULL
55,55,2023-07-20,500.00
56,56,NULL,245.50
57,57,2023-09-30,150.75
58,58,2023-10-15,NULL
59,59,2023-11-20,300.00
60,60,NULL,120.25
61,61,2023-01-30,150.75
62,62,2023-02-15,245.50
63,63,NULL,300.00
64,64,2023-04-25,NULL
65,65,2023-05-30,120.25
66,66,2023-06-15,NULL
67,67,2023-07-20,500.00
68,68,NULL,245.50
69,69,2023-09-30,150.75
70,70,2023-10-15,NULL
