employee_id,month,salary
1,January,55000.00
2,January,62000.00
3,January,60000.00
4,January,70000.00
5,January,58000.00
6,January,61000.00
7,January,54000.00
8,January,62000.00
9,January,60000.00
10,January,71000.00
11,January,57000.00
12,January,61000.00
13,January,53000.00
14,January,62000.00
15,January,60000.00
16,January,70000.00
17,January,58000.00
18,January,61000.00
19,January,53000.00
20,January,62000.00
21,January,60000.00
22,January,71000.00
23,January,57000.00
24,January,61000.00
25,January,53000.00
26,January,62000.00
27,January,60000.00
28,January,70000.00
29,January,58000.00
30,January,61000.00
31,January,53000.00
32,January,62000.00
33,January,60000.00
34,January,71000.00
35,January,57000.00
36,January,61000.00
37,January,53000.00
38,January,62000.00
39,January,60000.00
40,January,70000.00
41,January,58000.00
42,January,61000.00
43,January,53000.00
44,January,62000.00
45,January,60000.00
46,January,71000.00
47,January,57000.00
48,January,61000.00
49,January,53000.00
50,January,62000.00
51,January,60000.00
52,January,70000.00
53,January,58000.00
54,January,61000.00
55,January,53000.00
56,January,62000.00
57,January,60000.00
58,January,71000.00
59,January,57000.00
60,January,61000.00
61,January,53000.00
62,January,62000.00
63,January,60000.00
64,January,70000.00
65,January,58000.00
66,January,61000.00
67,January,53000.00
68,January,62000.00
69,January,60000.00
70,January,71000.00
